ADMIN | /admin/supervision/residentsupervisorassignment/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | supervision_residentsupervisorassignment_delete
ADMIN | /admin/supervision/residentsupervisorassignment/<path:object_id>/history/ | simple_history.admin.history_view | supervision_residentsupervisorassignment_history
ADMIN | /admin/supervision/residentsupervisorassignment/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | supervision_residentsupervisorassignment_simple_history
ADMIN | /admin/supervision/residentsupervisorassignment/add/ | django.contrib.admin.options.add_view | supervision_residentsupervisorassignment_add
ADMIN | /admin/token_blacklist/blacklistedtoken/ | django.contrib.admin.options.changelist_view | token_blacklist_blacklistedtoken_changelist
ADMIN | /admin/token_blacklist/blacklistedtoken/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/token_blacklist/blacklistedtoken/<path:object_id>/change/ | django.contrib.admin.options.change_view | token_blacklist_blacklistedtoken_change
ADMIN | /admin/token_blacklist/blacklistedtoken/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | token_blacklist_blacklistedtoken_delete
ADMIN | /admin/token_blacklist/blacklistedtoken/<path:object_id>/history/ | django.contrib.admin.options.history_view | token_blacklist_blacklistedtoken_history
ADMIN | /admin/token_blacklist/blacklistedtoken/add/ | django.contrib.admin.options.add_view | token_blacklist_blacklistedtoken_add
ADMIN | /admin/token_blacklist/outstandingtoken/ | django.contrib.admin.options.changelist_view | token_blacklist_outstandingtoken_changelist
ADMIN | /admin/token_blacklist/outstandingtoken/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/token_blacklist/outstandingtoken/<path:object_id>/change/ | django.contrib.admin.options.change_view | token_blacklist_outstandingtoken_change
ADMIN | /admin/token_blacklist/outstandingtoken/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | token_blacklist_outstandingtoken_delete
ADMIN | /admin/token_blacklist/outstandingtoken/<path:object_id>/history/ | django.contrib.admin.options.history_view | token_blacklist_outstandingtoken_history
ADMIN | /admin/token_blacklist/outstandingtoken/add/ | django.contrib.admin.options.add_view | token_blacklist_outstandingtoken_add
ADMIN | /admin/training/deputationposting/ | django.contrib.admin.options.changelist_view | training_deputationposting_changelist
ADMIN | /admin/training/deputationposting/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/deputationposting/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_deputationposting_change
ADMIN | /admin/training/deputationposting/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_deputationposting_delete
ADMIN | /admin/training/deputationposting/<path:object_id>/history/ | simple_history.admin.history_view | training_deputationposting_history
ADMIN | /admin/training/deputationposting/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_deputationposting_simple_history
ADMIN | /admin/training/deputationposting/add/ | django.contrib.admin.options.add_view | training_deputationposting_add
ADMIN | /admin/training/leaverequest/ | django.contrib.admin.options.changelist_view | training_leaverequest_changelist
ADMIN | /admin/training/leaverequest/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/leaverequest/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_leaverequest_change
ADMIN | /admin/training/leaverequest/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_leaverequest_delete
ADMIN | /admin/training/leaverequest/<path:object_id>/history/ | simple_history.admin.history_view | training_leaverequest_history
ADMIN | /admin/training/leaverequest/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_leaverequest_simple_history
ADMIN | /admin/training/leaverequest/add/ | django.contrib.admin.options.add_view | training_leaverequest_add
ADMIN | /admin/training/logbookentry/ | django.contrib.admin.options.changelist_view | training_logbookentry_changelist
ADMIN | /admin/training/logbookentry/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/logbookentry/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_logbookentry_change
ADMIN | /admin/training/logbookentry/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_logbookentry_delete
ADMIN | /admin/training/logbookentry/<path:object_id>/history/ | simple_history.admin.history_view | training_logbookentry_history
ADMIN | /admin/training/logbookentry/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_logbookentry_simple_history
ADMIN | /admin/training/logbookentry/add/ | django.contrib.admin.options.add_view | training_logbookentry_add
ADMIN | /admin/training/logbookreview/ | django.contrib.admin.options.changelist_view | training_logbookreview_changelist
ADMIN | /admin/training/logbookreview/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/logbookreview/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_logbookreview_change
ADMIN | /admin/training/logbookreview/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_logbookreview_delete
ADMIN | /admin/training/logbookreview/<path:object_id>/history/ | simple_history.admin.history_view | training_logbookreview_history
ADMIN | /admin/training/logbookreview/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_logbookreview_simple_history
ADMIN | /admin/training/logbookreview/add/ | django.contrib.admin.options.add_view | training_logbookreview_add
ADMIN | /admin/training/logbookthresholdconfig/ | django.contrib.admin.options.changelist_view | training_logbookthresholdconfig_changelist
ADMIN | /admin/training/logbookthresholdconfig/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/logbookthresholdconfig/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_logbookthresholdconfig_change
ADMIN | /admin/training/logbookthresholdconfig/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_logbookthresholdconfig_delete
ADMIN | /admin/training/logbookthresholdconfig/<path:object_id>/history/ | simple_history.admin.history_view | training_logbookthresholdconfig_history
ADMIN | /admin/training/logbookthresholdconfig/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_logbookthresholdconfig_simple_history
ADMIN | /admin/training/logbookthresholdconfig/add/ | django.contrib.admin.options.add_view | training_logbookthresholdconfig_add
ADMIN | /admin/training/logbookthresholdsnapshot/ | django.contrib.admin.options.changelist_view | training_logbookthresholdsnapshot_changelist
ADMIN | /admin/training/logbookthresholdsnapshot/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/logbookthresholdsnapshot/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_logbookthresholdsnapshot_change
ADMIN | /admin/training/logbookthresholdsnapshot/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_logbookthresholdsnapshot_delete
ADMIN | /admin/training/logbookthresholdsnapshot/<path:object_id>/history/ | django.contrib.admin.options.history_view | training_logbookthresholdsnapshot_history
ADMIN | /admin/training/logbookthresholdsnapshot/add/ | django.contrib.admin.options.add_view | training_logbookthresholdsnapshot_add
ADMIN | /admin/training/programmilestone/ | django.contrib.admin.options.changelist_view | training_programmilestone_changelist
ADMIN | /admin/training/programmilestone/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/programmilestone/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_programmilestone_change
ADMIN | /admin/training/programmilestone/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_programmilestone_delete
ADMIN | /admin/training/programmilestone/<path:object_id>/history/ | simple_history.admin.history_view | training_programmilestone_history
ADMIN | /admin/training/programmilestone/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_programmilestone_simple_history
ADMIN | /admin/training/programmilestone/add/ | django.contrib.admin.options.add_view | training_programmilestone_add
ADMIN | /admin/training/programpolicy/ | django.contrib.admin.options.changelist_view | training_programpolicy_changelist
ADMIN | /admin/training/programpolicy/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/programpolicy/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_programpolicy_change
ADMIN | /admin/training/programpolicy/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_programpolicy_delete
ADMIN | /admin/training/programpolicy/<path:object_id>/history/ | simple_history.admin.history_view | training_programpolicy_history
ADMIN | /admin/training/programpolicy/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_programpolicy_simple_history
ADMIN | /admin/training/programpolicy/add/ | django.contrib.admin.options.add_view | training_programpolicy_add
ADMIN | /admin/training/programrotationrequirement/ | django.contrib.admin.options.changelist_view | training_programrotationrequirement_changelist
ADMIN | /admin/training/programrotationrequirement/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/programrotationrequirement/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_programrotationrequirement_change
ADMIN | /admin/training/programrotationrequirement/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_programrotationrequirement_delete
ADMIN | /admin/training/programrotationrequirement/<path:object_id>/history/ | simple_history.admin.history_view | training_programrotationrequirement_history
ADMIN | /admin/training/programrotationrequirement/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_programrotationrequirement_simple_history
ADMIN | /admin/training/programrotationrequirement/add/ | django.contrib.admin.options.add_view | training_programrotationrequirement_add
ADMIN | /admin/training/programrotationtemplate/ | django.contrib.admin.options.changelist_view | training_programrotationtemplate_changelist
ADMIN | /admin/training/programrotationtemplate/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/programrotationtemplate/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_programrotationtemplate_change
ADMIN | /admin/training/programrotationtemplate/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_programrotationtemplate_delete
ADMIN | /admin/training/programrotationtemplate/<path:object_id>/history/ | simple_history.admin.history_view | training_programrotationtemplate_history
ADMIN | /admin/training/programrotationtemplate/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_programrotationtemplate_simple_history
ADMIN | /admin/training/programrotationtemplate/add/ | django.contrib.admin.options.add_view | training_programrotationtemplate_add
ADMIN | /admin/training/residentmilestoneeligibility/ | django.contrib.admin.options.changelist_view | training_residentmilestoneeligibility_changelist
ADMIN | /admin/training/residentmilestoneeligibility/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/residentmilestoneeligibility/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_residentmilestoneeligibility_change
ADMIN | /admin/training/residentmilestoneeligibility/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_residentmilestoneeligibility_delete
ADMIN | /admin/training/residentmilestoneeligibility/<path:object_id>/history/ | django.contrib.admin.options.history_view | training_residentmilestoneeligibility_history
ADMIN | /admin/training/residentmilestoneeligibility/add/ | django.contrib.admin.options.add_view | training_residentmilestoneeligibility_add
ADMIN | /admin/training/residentresearchproject/ | django.contrib.admin.options.changelist_view | training_residentresearchproject_changelist
ADMIN | /admin/training/residentresearchproject/<path:object_id>/ | django.views.generic.base.view | None
ADMIN | /admin/training/residentresearchproject/<path:object_id>/change/ | django.contrib.admin.options.change_view | training_residentresearchproject_change
ADMIN | /admin/training/residentresearchproject/<path:object_id>/delete/ | django.contrib.admin.options.delete_view | training_residentresearchproject_delete
ADMIN | /admin/training/residentresearchproject/<path:object_id>/history/ | simple_history.admin.history_view | training_residentresearchproject_history
ADMIN | /admin/training/residentresearchproject/^([^/]+)/history/([^/]+)/$ | simple_history.admin.history_form_view | training_residentresearchproject_simple_history
ADMIN | /admin/training/residentresearchproject/add/ | django.contrib.admin.options.add_view | training_residentresearchproject_add
